title,slug,topCategoryName,origin,price_unit
Clémentine feuille bio  Corse CARREFOUR BIO,clementine-feuille-bio-corse-carrefour-bio,Fruits et Légumes,FRANCE,2.91 € / KG
Clémentines Bio,clementines-bio,Fruits et Légumes,ESPAGNE,3.99 € / KG
Clémentines CARREFOUR BIO,clementines-carrefour-bio,Fruits et Légumes,FRANCE,7.05 € / KG
Clémentines feuilles Bio,clementines-feuilles-bio,Fruits et Légumes,origine UE et Hors U.E.,5.32 € / KG
Clémentines de Corse en conversion biologique,clementines-de-corse-en-conversion-biologique,Fruits et Légumes,FRANCE,7.18 € / KG
Clémentines de Corse Bio,clementines-de-corse-bio,Fruits et Légumes,FRANCE,7.98 € / KG
Clémentines à feuille Bio,clementines-a-feuille-bio,Fruits et Légumes,ESPAGNE,5.05 € / KG
Clémentines bio,clementines-bio,Fruits et Légumes,ORIGINE C.E.E.,3.99 € / U
Figues Bio,figues-bio,Bio et Ecologie,FRANCE,22.20 € / KG
Fraises Gariguette Bio,fraises-gariguette-bio,Fruits et Légumes,FRANCE,19.92 € / KG
Fraises Rondes Bio,fraises-rondes-bio,Fruits et Légumes,FRANCE,11.96 € / KG
Fraises rondes CARREFOUR BIO,fraises-rondes-carrefour-bio,Fruits et Légumes,FRANCE,11.16 € / KG
Framboise Bio,framboise-bio,Fruits et Légumes,FRANCE,27.92 € / KG
Framboises bio,framboises-bio,Fruits et Légumes,ESPAGNE,22.32 € / KG
Grenade Bio CARREFOUR BIO,grenade-bio-carrefour-bio,Fruits et Légumes,FRANCE,2.19 € / U
Grenade Bio,grenade-bio,Fruits et Légumes,ORIGINE C.E.E.,2.99 € / U
Grenades Bio,grenades-bio,Bio et Ecologie,FRANCE,4.59 € / U
Kaki persimon Bio,kaki-persimon-bio,Fruits et Légumes,ORIGINE C.E.E.,2.99 € / U
Kiwi  Kiwis bio Hayward,kiwi-kiwis-bio-hayward,Fruits et Légumes,FRANCE,3.99 € / KG
Kiwi Hayward Bio,kiwi-hayward-bio,Fruits et Légumes,ITALIE,3.69 € / KG
Kiwi Hayward Bio HAYWARD,kiwi-hayward-bio-hayward,Fruits et Légumes,ORIGINE C.E.E.,2.96 € / KG
Kiwi vert Bio Hayward,kiwi-vert-bio-hayward,Fruits et Légumes,FRANCE,5.99 € / KG
Kiwi jaune vrac Bio Sungold,kiwi-jaune-vrac-bio-sungold,Fruits et Légumes,FRANCE,8.99 € / KG
Kiwi Bio Hayward,kiwi-bio-hayward,Fruits et Légumes,FRANCE,7.18 € / KG
Kiwi Hayward en conversion Bio Hayward,kiwi-hayward-en-conversion-bio-hayward,Fruits et Légumes,FRANCE,3.45 € / KG
Kiwi bio jaune,kiwi-bio-jaune,Fruits et Légumes,ITALIE,3.35 € / U
Kiwi Bio jaune Sungold,kiwi-bio-jaune-sungold,Fruits et Légumes,NOUVELLE-ZELANDE,4.49 € / U
Kiwi Jaune Bio SUNGOLD,kiwi-jaune-bio-sungold,Fruits et Légumes,ORIGINE C.E.E.,7.98 € / KG
Kiwis Bio Hayward,kiwis-bio-hayward,Fruits et Légumes,NOUVELLE-ZELANDE,3.59 € / U
Kiwis jaunes Bio,kiwis-jaunes-bio,Bio et Ecologie,origine UE et Hors U.E.,3.99 € / U
Kumquat Bio,kumquat-bio,Fruits et Légumes,FRANCE,13.95 € / KG
Mandarine à feuille Bio,mandarine-a-feuille-bio,Fruits et Légumes,UE ET HORS UE,5.59 € / KG
Mandarines Bio,mandarines-bio,Fruits et Légumes,ESPAGNE,4.59 € / KG
Mandarines Bio,mandarines-bio,Fruits et Légumes,ESPAGNE,4.68 € / KG
Mandarines bio CARREFOUR BIO,mandarines-bio-carrefour-bio,Fruits et Légumes,ESPAGNE,3.99 € / KG
Mangue Bio,mangue-bio,Fruits et Légumes,ORIGINE C.E.E.,7.18 € / KG
Mangue décollée bio issue du Commerce Equitable,mangue-decollee-bio-issue-du-commerce-equitable,Fruits et Légumes,PAYS TIERS,5.76 € / KG
Mangue décollée Bio,mangue-decollee-bio,Fruits et Légumes,ESPAGNE,2.99 € / U
Melon vert Bio,melon-vert-bio,Fruits et Légumes,FRANCE,3.39 € / U
Mirabelle Bio,mirabelle-bio,Fruits et Légumes,FRANCE,9.98 € / KG
Myrtille Bio,myrtille-bio,Fruits et Légumes,FRANCE,27.92 € / KG
Myrtilles Bio,myrtilles-bio,Bio et Ecologie,FRANCE,30.32 € / KG
Myrtilles Bio,myrtilles-bio,Fruits et Légumes,ORIGINE C.E.E.,9.96 € / KG
Nectarine jaune vrac Bio Chair jaune,nectarine-jaune-vrac-bio-chair-jaune,Fruits et Légumes,FRANCE,6.99 € / KG
Nectarine blanche vrac Bio Chair blanche,nectarine-blanche-vrac-bio-chair-blanche,Fruits et Légumes,FRANCE,6.99 € / KG
Nectarine blanche Bio CHAIR JAUNE,nectarine-blanche-bio-chair-jaune,Fruits et Légumes,ORIGINE C.E.E.,6.42 € / KG
Nectarines jaunes Bio CARREFOUR BIO,nectarines-jaunes-bio-carrefour-bio,Fruits et Légumes,FRANCE,7.98 € / KG
Nectarines jaunes en conversion Biologique,nectarines-jaunes-en-conversion-biologique,Fruits et Légumes,FRANCE,3.80 € / KG
Nectarines jaunes en conversion Biologique,nectarines-jaunes-en-conversion-biologique,Fruits et Légumes,FRANCE,7.18 € / KG
Nectarines jaune Bio CHAIR JAUNE CARREFOUR BIO,nectarines-jaune-bio-chair-jaune-carrefour-bio,Fruits et Légumes,FRANCE,9.00 € / KG
Noix de Coco Bio Ruban,noix-de-coco-bio-ruban,Fruits et Légumes,ORIGINE PAYS TIERS,1.99 € / U
Noix de Coco Max Havelaar Bio,noix-de-coco-max-havelaar-bio,Fruits et Légumes,ORIGINE PAYS TIERS,1.65 € / U
Oranges sanguines Bio,oranges-sanguines-bio,Fruits et Légumes,FRANCE,2.49 € / KG
Oranges à dessert vrac Bio,oranges-a-dessert-vrac-bio,Fruits et Légumes,FRANCE,2.99 € / KG
Oranges à jus vrac,oranges-a-jus-vrac,Fruits et Légumes,FRANCE,4.20 € / KG
Oranges Bio,oranges-bio,Fruits et Légumes,ESPAGNE,2.99 € / KG
Oranges Sanguines Bio,oranges-sanguines-bio,Fruits et Légumes,ORIGINE C.E.E.,2.99 € / KG
Oranges à dessert,oranges-a-dessert,Fruits et Légumes,ESPAGNE,2.99 € / U
Pastèque Bio,pasteque-bio,Fruits et Légumes,FRANCE,2.59 € / U
Pêche bio,peche-bio,Bio et Ecologie,FRANCE,3.99 € / U
Pêche blanche vrac Bio Chair blanche,peche-blanche-vrac-bio-chair-blanche,Fruits et Légumes,FRANCE,6.99 € / KG
Pêche jaune vrac Bio Chair jaune,peche-jaune-vrac-bio-chair-jaune,Fruits et Légumes,FRANCE,6.99 € / KG
Peche jaune Bio Jaune CARREFOUR BIO,peche-jaune-bio-jaune-carrefour-bio,Fruits et Légumes,FRANCE,7.98 € / KG
Pêche jaune en conversion Bio CHAIR JAUNE,peche-jaune-en-conversion-bio-chair-jaune,Fruits et Légumes,FRANCE,6.38 € / KG
Pêches jaunes Bio CARREFOUR BIO,peches-jaunes-bio-carrefour-bio,Fruits et Légumes,FRANCE,8.40 € / KG
Pêches jaunes en conversion Biologique,peches-jaunes-en-conversion-biologique,Bio et Ecologie,FRANCE,3.80 € / KG
Poire Conférence bio,poire-conference-bio,Fruits et Légumes,FRANCE,5.98 € / KG
Poire Conférence Bio Conférence,poire-conference-bio-conference,Fruits et Légumes,FRANCE,2.65 € / U
Poires Guyot vrac Bio,poires-guyot-vrac-bio,Fruits et Légumes,FRANCE,3.99 € / KG
Poires Angelys vrac Bio,poires-angelys-vrac-bio,Fruits et Légumes,FRANCE,4.51 € / KG
Poires Beurré d'Anjou vrac Bio,poires-beurre-d-anjou-vrac-bio,Fruits et Légumes,FRANCE,1.88 € / KG
Poires Abate vrac Bio,poires-abate-vrac-bio,Fruits et Légumes,FRANCE,3.29 € / KG
Poires Général Leclerc vrac Bio,poires-general-leclerc-vrac-bio,Fruits et Légumes,FRANCE,3.39 € / KG
Poires Harrow Sweet Bio vrac,poires-harrow-sweet-bio-vrac,Fruits et Légumes,FRANCE,3.59 € / KG
Poires  Abate bio,poires-abate-bio,Fruits et Légumes,ORIGINE C.E.E.,3.99 € / U
Poires Abate Bio,poires-abate-bio,Fruits et Légumes,FRANCE,2.99 € / U
Pomelo rouge vrac Bio,pomelo-rouge-vrac-bio,Fruits et Légumes,FRANCE,3.29 € / KG
Pomelo Corse CARREFOUR BIO,pomelo-corse-carrefour-bio,Fruits et Légumes,FRANCE,1.39 € / U
Pomelos roses Bio,pomelos-roses-bio,Fruits et Légumes,ESPAGNE,2.99 € / U
Pomelos roses Bio,pomelos-roses-bio,Fruits et Légumes,ESPAGNE,2.79 € / U
Pomelos Bio roses,pomelos-bio-roses,Fruits et Légumes,ESPAGNE,2.99 € / U
Pomelos Bio,pomelos-bio,Fruits et Légumes,ESPAGNE,2.49 € / KG
Pomme Golden delicious bio,pomme-golden-delicious-bio,Fruits et Légumes,ITALIE,3.98 € / KG
