title;slug;topCategoryName;origin;price_unit;price
Beurre  moulé demi-sel Bio CARREFOUR BIO;beurre-moule-demi-sel-bio-carrefour-bio;Crèmerie et Produits laitiers;;11.90;5.95
Beurre Doux  Moulé Bio CARREFOUR BIO;beurre-doux-moule-bio-carrefour-bio;Bio et Ecologie;;11.90;5.95
Crème Fluide Entière 30% Mg CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;6.58;3.95
Crème  légère liquide 15% MG Bio CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;6.25;3.75
Crème Fraîche Entière  Epaisse 30% Mat.Gr. Bio CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;5.95;1.19
Crème Fraîche  Epaisse 30% Mat.Gr. Bio CARREFOUR BIO;lait;Crèmerie et Produits laitiers;;5.58;2.79
Beurre tendre doux CARREFOUR CLASSIC';beurre-tendre-doux-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Beurre tendre demi-sel CARREFOUR CLASSIC';beurre-tendre-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Beurre gastronomique doux CARREFOUR CLASSIC';beurre-gastronomique-doux-carrefour-classic;Crèmerie et Produits laitiers;;9.78;4.89
Beurre gastronomique doux CARREFOUR CLASSIC';beurre-gastronomique-doux-carrefour-classic;Crèmerie et Produits laitiers;;10.20;2.55
Beurre gastronomique demi-sel CARREFOUR CLASSIC';beurre-gastronomique-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;10.20;2.55
Beurre gastronomique doux CARREFOUR CLASSIC';beurre-gastronomique-doux-carrefour-classic;Crèmerie et Produits laitiers;;11.40;2.85
Beurre gastronomique demi-sel CARREFOUR CLASSIC';beurre-gastronomique-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;11.40;2.85
Beurre tendre doux CARREFOUR CLASSIC';beurre-tendre-doux-carrefour-classic;Crèmerie et Produits laitiers;;10.60;2.65
Beurre extra fin doux CARREFOUR CLASSIC';beurre-extra-fin-doux-carrefour-classic;Crèmerie et Produits laitiers;;11.60;1.45
Beurre extra-fin demi-sel CARREFOUR CLASSIC';beurre-extra-fin-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;11.60;1.45
Beurre doux 60% MG CARREFOUR CLASSIC';beurre-doux-60-mg-carrefour-classic;Crèmerie et Produits laitiers;;7.96;1.99
Beurre demi-sel 60% MG CARREFOUR CLASSIC';beurre-demi-sel-60-mg-carrefour-classic;Crèmerie et Produits laitiers;;7.96;1.99
Beurre extra fin demi-sel CARREFOUR CLASSIC';beurre-extra-fin-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Beurre extra fin doux CARREFOUR CLASSIC';beurre-extra-fin-doux-carrefour-classic;Crèmerie et Produits laitiers;;9.56;2.39
Crème Légère Semi-Épaisse 18% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.58;2.15
Crème Fraîche Épaisse Légère 15% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;2.98;1.49
Crème Fraîche Épaisse Entière CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.98;1.99
Crème Entière Fouettée CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;7.80;1.95
Crème Légère Fouettée CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;7.40;1.85
Crème Entière Fluide 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;4.58;2.75
Crème Fluide Légère 12% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;5.10;2.55
Crème Entière Fluide 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;5.70;2.85
Crème Légère Fluide 12% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.32;1.99
Crème Entière Fluide 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;4.49;4.49
Crème Légère Fluide 12% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.29;3.29
Crème 7% CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.10;1.55
Crème Entière Semi-Épaisse 30% Mg CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;6.25;3.75
Crème Légère Semi-Épaisse CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.98;2.39
Crème légère fluide CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.32;1.99
Crème Anglaise CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;4.42;2.65
Crème fleurette entière 30% MG CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;4.98;1.99
Crème Fraîche Epaisse Légère 15% Mat.Gr. CARREFOUR CLASSIC';lait;Crèmerie et Produits laitiers;;3.55;0.71
Margarine doux tartine & cuisson CARREFOUR CLASSIC';margarine-doux-tartine-cuisson-carrefour-classic;Crèmerie et Produits laitiers;;2.90;1.45
Margarine cuisine & pâtisserie CARREFOUR CLASSIC';margarine-cuisine-patisserie-carrefour-classic;Crèmerie et Produits laitiers;;2.70;1.35
Margarine oméga 3 doux CARREFOUR CLASSIC';margarine-omega-3-doux-carrefour-classic;Crèmerie et Produits laitiers;;4.18;2.09
Margarine tournesol demi-sel CARREFOUR CLASSIC';margarine-tournesol-demi-sel-carrefour-classic;Crèmerie et Produits laitiers;;3.50;1.75
Margarine Oméga 3 doux CARREFOUR CLASSIC';margarine-omega-3-doux-carrefour-classic;Crèmerie et Produits laitiers;;4.60;1.15
Margarine liquide cuisine CARREFOUR CLASSIC';margarine-liquide-cuisine-carrefour-classic;Crèmerie et Produits laitiers;;4.58;2.29
Beurre moulé de Bretagne demi-sel CARREFOUR ORIGINAL;beurre-moule-de-bretagne-demi-sel-carrefour-original;Crèmerie et Produits laitiers;;10.20;2.55
Beurre moulé demi-sel CARREFOUR ORIGINAL;beurre-moule-demi-sel-carrefour-original;Crèmerie et Produits laitiers;;9.78;4.89
Beurre moulé de Bretagne doux CARREFOUR ORIGINAL;beurre-moule-de-bretagne-doux-carrefour-original;Crèmerie et Produits laitiers;;10.20;2.55
Beurre moulé Bretagne doux CARREFOUR ORIGINAL;beurre-moule-bretagne-doux-carrefour-original;Crèmerie et Produits laitiers;;9.78;4.89
Beurre de baratte doux CARREFOUR ORIGINAL;beurre-de-baratte-doux-carrefour-original;Crèmerie et Produits laitiers;;11.16;2.79
Beurre de Baratte demi-sel CARREFOUR ORIGINAL;beurre-de-baratte-demi-sel-carrefour-original;Crèmerie et Produits laitiers;;11.16;2.79
Beurre moulé de Bretagne doux CARREFOUR ORIGINAL;beurre-moule-de-bretagne-doux-carrefour-original;Crèmerie et Produits laitiers;;9.78;4.89
Beurre moulé de Bretagne demi-sel CARREFOUR ORIGINAL;beurre-moule-de-bretagne-demi-sel-carrefour-original;Crèmerie et Produits laitiers;;9.78;4.89
Beurre Doux de Baratte C'EST QUI LE PATRON?!;beurre-doux-de-baratte-c-est-qui-le-patron;Crèmerie et Produits laitiers;;13.56;3.39
Beurre Demi-Sel de Baratte C'EST QUI LE PATRON?!;beurre-demi-sel-de-baratte-c-est-qui-le-patron;Crèmerie et Produits laitiers;;13.56;3.39
Beurre doux Bio C'EST QUI LE PATRON;beurre-doux-bio-c-est-qui-le-patron;Crèmerie et Produits laitiers;;12.68;3.17
Beurre demi-sel Bio C 'EST QUI LE PATRON;beurre-demi-sel-bio-c-est-qui-le-patron;Crèmerie et Produits laitiers;;12.68;3.17
Crème Liquide 30% Mg C'EST QUI LE PATRON;lait;Crèmerie et Produits laitiers;;5.63;3.38
Beurre Doux de Baratte AOP de Charentes-Poitou ECHIRE;beurre-doux-de-baratte-aop-de-charentes-poitou-echire;Crèmerie et Produits laitiers;;14.76;3.69
Beurre   doux Noisy ELLE & VIRE;beurre-doux-noisy-elle-vire;Crèmerie et Produits laitiers;;13.40;3.35
Beurre   allégé doux 41% MG ELLE & VIRE;beurre-allege-doux-41-mg-elle-vire;Crèmerie et Produits laitiers;;9.00;2.25
Beurre Demi-sel Tendre Au Sel de Guérande  ELLE & VIRE;beurre-demi-sel-tendre-au-sel-de-guerande-elle-vire;Crèmerie et Produits laitiers;;11.96;2.99
Beurre   de tradition Condé sur Vire doux ELLE & VIRE;beurre-de-tradition-conde-sur-vire-doux-elle-vire;Crèmerie et Produits laitiers;;12.20;3.05
Beurre   de tradition Condé sur Vire demi-sel ELLE & VIRE;beurre-de-tradition-conde-sur-vire-demi-sel-elle-vire;Crèmerie et Produits laitiers;;12.20;3.05
Beurre tendre doux ELLE & VIRE;beurre-tendre-doux-elle-vire;Crèmerie et Produits laitiers;;11.96;2.99
Beurre  tendre doux  ELLE & VIRE;beurre-tendre-doux-elle-vire;Crèmerie et Produits laitiers;;11.56;2.89
Beurre   tendre demi-sel ELLE & VIRE;beurre-tendre-demi-sel-elle-vire;Crèmerie et Produits laitiers;;11.40;2.85
Crème Fleurette Entière 31% Mg ELLE & VIRE;lait;Crèmerie et Produits laitiers;;6.64;2.19
Crème Entière Bio Epaisse ELLE & VIRE;lait;Crèmerie et Produits laitiers;;7.38;2.99
Crème Fraiche Épaisse Légère 12% Mg Bio ELLE & VIRE;lait;Crèmerie et Produits laitiers;;6.62;2.55
Crème À Fouetter Et Mascarpone 36% Mg ELLE & VIRE;lait;Crèmerie et Produits laitiers;;8.12;3.15
Crème Fleurette Légère 12% Mg  ELLE & VIRE;lait;Crèmerie et Produits laitiers;;5.64;2.19
Crème Uht Fluide Entière 30% Mg  ELLE & VIRE;lait;Crèmerie et Produits laitiers;;6.58;3.29
Crème Fraiche Épaisse Entière  ELLE & VIRE;lait;Crèmerie et Produits laitiers;;6.02;1.95
Crème Fraiche Épaisse Légère ELLE & VIRE;lait;Crèmerie et Produits laitiers;;5.34;1.75
Crème Fluide Et Légère 4% Mat.Gr. ELLE & VIRE;lait;Crèmerie et Produits laitiers;;3.82;2.29
Crème Uht Semi-Épaisse Extra-Légère ELLE & VIRE;lait;Crèmerie et Produits laitiers;;4.65;2.79
Crème Uht Fluide Entière ELLE & VIRE;lait;Crèmerie et Produits laitiers;;7.18;3.59
Crème Uht Semi-Épaisse Entière ELLE & VIRE;lait;Crèmerie et Produits laitiers;;9.18;4.59
Crème Uht Semi-Épaisse Légère 18% Mg ELLE & VIRE;lait;Crèmerie et Produits laitiers;;6.42;3.85
