title,slug,topCategoryName,origin,price_unit
Saumon pas Fumé Gravlax Aneth et Baies Roses MOWI,saumon-pas-fume-gravlax-aneth-et-baies-roses-mowi,Viandes et Poissons,,69.90 € / KG
Truite Fumée des Pyrénées PECHERIES BASQUES,truite-fumee-des-pyrenees-pecheries-basques,Viandes et Poissons,,47.42 € / KG
Carpaccio de saumon façon gravlax CARREFOUR LE MARCHE,carpaccio-de-saumon-facon-gravlax-carrefour-le-marche,Viandes et Poissons,FRANCE,58.00 € / KG
Crevettes  semi-décortiquées ASC et mayonnaise  CARREFOUR LE MARCHE,crevettes-semi-decortiquees-asc-et-mayonnaise-carrefour-le-marche,Viandes et Poissons,FRANCE,38.46 € / KG
Salade de choux IZAKAYA,salade-de-choux-izakaya,Viandes et Poissons,FRANCE,21.74 € / KG
Menu two SUSHI DAILY,menu-two-sushi-daily,Viandes et Poissons,FRANCE,60.31 € / KG
Hikari mix,hikari-mix,Viandes et Poissons,FRANCE,37.90 € / KG
Menu san SUSHI DAILY,menu-san-sushi-daily,Viandes et Poissons,FRANCE,46.00 € / KG
Sushi saumon,sushi-saumon,Viandes et Poissons,FRANCE,53.59 € / KG
Sushi saumon SUSHI DAILY,sushi-saumon-sushi-daily,Viandes et Poissons,FRANCE,53.59 € / KG
Roll'in saumon cheese,roll-in-saumon-cheese,Viandes et Poissons,FRANCE,46.64 € / KG
Menu yon SUSHI DAILY,menu-yon-sushi-daily,Viandes et Poissons,FRANCE,39.95 € / KG
Salade  de choux SUSHI DAILY,salade-de-choux-sushi-daily,Viandes et Poissons,FRANCE,19.47 € / KG
Minis blinis CARREFOUR BIO,minis-blinis-carrefour-bio,Viandes et Poissons,,13.26 € / KG
Surimi bâtonnets CARREFOUR CLASSIC',surimi-batonnets-carrefour-classic,Viandes et Poissons,,7.17 € / KG
Saumon fumé Ecosse CARREFOUR SELECTION,saumon-fume-ecosse-carrefour-selection,Viandes et Poissons,,65.56 € / KG
Mini poivrons farcis fromage & ricotta CARREFOUR EXTRA,mini-poivrons-farcis-fromage-ricotta-carrefour-extra,Viandes et Poissons,,23.27 € / KG
Plat Cuisiné Brandade à la Morue MAISON BRIAU,plat-cuisine-brandade-a-la-morue-maison-briau,Viandes et Poissons,FRANCE,11.98 € / KG
Plat cuisiné parmentier au saumon MAISON BRIAU,plat-cuisine-parmentier-au-saumon-maison-briau,Viandes et Poissons,FRANCE,13.32 € / KG
Assortiment de sushi  combo one SUSHI DAILY,assortiment-de-sushi-combo-one-sushi-daily,Viandes et Poissons,FRANCE,43.24 € / KG
Sashimi saumon SUSHI DAILY,sashimi-saumon-sushi-daily,Viandes et Poissons,FRANCE,76.60 € / KG
Roll poulet crunch SUSHI DAILY,roll-poulet-crunch-sushi-daily,Viandes et Poissons,FRANCE,37.78 € / KG
Plat cuisinés moules à la marinière ROYAL,plat-cuisines-moules-a-la-mariniere-royal,Viandes et Poissons,,12.30 € / KG
Saumon fumé d'Ecosse LABEYRIE,saumon-fume-d-ecosse-labeyrie,Viandes et Poissons,,69.15 € / KG
Filet de harengs fumé au naturel DELPIERRE,filet-de-harengs-fume-au-naturel-delpierre,Viandes et Poissons,,13.25 € / KG
Soupe poissons à la Méditerranéenne REFLETS DE FRANCE,soupe-poissons-a-la-mediterraneenne-reflets-de-france,Viandes et Poissons,,4.80 € / L
Saumon fumé émincés 5 baies CARREFOUR SELECTION,saumon-fume-eminces-5-baies-carrefour-selection,Viandes et Poissons,,46.50 € / KG
Saumon fumé émincés aneth citron CARREFOUR SELECTION,saumon-fume-eminces-aneth-citron-carrefour-selection,Viandes et Poissons,,46.50 € / KG
Saumon fumé Norvège CARREFOUR EXTRA,saumon-fume-norvege-carrefour-extra,Viandes et Poissons,,44.48 € / KG
Saumon fumé Norvège CARREFOUR EXTRA,saumon-fume-norvege-carrefour-extra,Viandes et Poissons,,40.83 € / KG
Saumon fumé Ecosse CARREFOUR EXTRA,saumon-fume-ecosse-carrefour-extra,Viandes et Poissons,,44.64 € / KG
Blinis CARREFOUR SENSATION,blinis-carrefour-sensation,Viandes et Poissons,,6.75 € / KG
Rollmops marinade vinaigrée CARREFOUR,rollmops-marinade-vinaigree-carrefour,Viandes et Poissons,,11.75 € / KG
Filets de hareng fumés doux CARREFOUR,filets-de-hareng-fumes-doux-carrefour,Viandes et Poissons,,9.90 € / KG
Saumon fumé CARREFOUR BIO,saumon-fume-carrefour-bio,Viandes et Poissons,,61.12 € / KG
Saumon fumé Ecosse LR CARREFOUR SELECTION,saumon-fume-ecosse-lr-carrefour-selection,Viandes et Poissons,,67.38 € / KG
Saumon fumé de Norvège CARREFOUR SELECTION,saumon-fume-de-norvege-carrefour-selection,Viandes et Poissons,,64.88 € / KG
Saumon fumé Ecosse CARREFOUR EXTRA,saumon-fume-ecosse-carrefour-extra,Viandes et Poissons,,42.33 € / KG
Saumon fumé Ecosse CARREFOUR EXTRA,saumon-fume-ecosse-carrefour-extra,Viandes et Poissons,,41.50 € / KG
Tarama œufs de cabillaud CARREFOUR,tarama-oeufs-de-cabillaud-carrefour,Viandes et Poissons,,9.80 € / KG
Surimi bâtonnets saveur CORAYA,surimi-batonnets-saveur-coraya,Viandes et Poissons,,10.11 € / KG
Blinis cocktail BLINI,blinis-cocktail-blini,Viandes et Poissons,,9.63 € / KG
Bâtonnets de Surimi le Moelleux msc FLEURY MICHON,batonnets-de-surimi-le-moelleux-msc-fleury-michon,Viandes et Poissons,,9.98 € / KG
Maxi maki,maxi-maki,Viandes et Poissons,FRANCE,51.79 € / KG
Crunch  saumon roll SUSHI DAILY,crunch-saumon-roll-sushi-daily,Viandes et Poissons,FRANCE,41.67 € / KG
Sushi saumon,sushi-saumon,Viandes et Poissons,FRANCE,51.91 € / KG
Maki California,maki-california,Viandes et Poissons,FRANCE,45.08 € / KG
Sushi box CARREFOUR LE MARCHE,sushi-box-carrefour-le-marche,Viandes et Poissons,FRANCE,20.81 € / KG
Truite fumée  au bois de hêtre Bio CARREFOUR BIO,truite-fumee-au-bois-de-hetre-bio-carrefour-bio,Viandes et Poissons,,56.25 € / KG
Soupe de poissons REFLETS DE FRANCE,soupe-de-poissons-reflets-de-france,Viandes et Poissons,,5.08 € / KG
Saumon fumé Norvège CARREFOUR EXTRA,saumon-fume-norvege-carrefour-extra,Viandes et Poissons,,54.14 € / KG
Saumon fumé à cuisiner CARREFOUR,saumon-fume-a-cuisiner-carrefour,Viandes et Poissons,,28.83 € / KG
Anchois marinés à l'orientale CARREFOUR EXTRA,anchois-marines-a-l-orientale-carrefour-extra,Viandes et Poissons,,25.00 € / KG
Saumon fumé sauvage Pacifique CARREFOUR,saumon-fume-sauvage-pacifique-carrefour,Viandes et Poissons,,59.92 € / KG
Surimi CARREFOUR CLASSIC',surimi-carrefour-classic,Viandes et Poissons,,4.59 € / KG
Saumon fumé émincés CARREFOUR BIO,saumon-fume-eminces-carrefour-bio,Viandes et Poissons,,59.90 € / KG
Saumon fumé émincés sésame et pavot CARREFOUR SELECTION,saumon-fume-eminces-sesame-et-pavot-carrefour-selection,Viandes et Poissons,,50.90 € / KG
Tarama aux œufs de cabillaud fumé CARREFOUR EXTRA,tarama-aux-oeufs-de-cabillaud-fume-carrefour-extra,Viandes et Poissons,,13.83 € / KG
Emincés de truite fumée REFLETS DE FRANCE,eminces-de-truite-fumee-reflets-de-france,Viandes et Poissons,,59.50 € / KG
Œufs de lompe rouges CARREFOUR EXTRA,oeufs-de-lompe-rouges-carrefour-extra,Viandes et Poissons,,36.88 € / KG
Œufs de lompe noirs CARREFOUR EXTRA,oeufs-de-lompe-noirs-carrefour-extra,Viandes et Poissons,,36.88 € / KG
