title,slug,topCategoryName,origin,price_unit
Croustillant de Cabillaud Saveur Meridionale,croustillant-de-cabillaud-saveur-meridionale,Viandes et Poissons,FRANCE,24.95 € / KG
Croustillant de St Jacques et Fondue de Poireaux,croustillant-de-st-jacques-et-fondue-de-poireaux,Viandes et Poissons,FRANCE,29.95 € / KG
Croustillants cabillaud citron et basilic CITE MARINE,croustillants-cabillaud-citron-et-basilic-cite-marine,Viandes et Poissons,FRANCE,17.45 € / KG
Filet de Limande façon meunière,filet-de-limande-facon-meuniere,Viandes et Poissons,,18.55 € / KG
Filet de limande  façon meunière MAISON BRIAU,filet-de-limande-facon-meuniere-maison-briau,Viandes et Poissons,FRANCE,18.72 € / KG
Filet de Maquereaux cuits et fermes au poivre noir FOURNIER FILS,filet-de-maquereaux-cuits-et-fermes-au-poivre-noir-fournier-fils,Viandes et Poissons,FRANCE,24.95 € / KG
Filet de Merlu Panure au Graines,filet-de-merlu-panure-au-graines,Viandes et Poissons,FRANCE,22.88 € / KG
Filets de hareng fumés BOURGAIN,filets-de-hareng-fumes-bourgain,Viandes et Poissons,FRANCE,15.00 € / KG
Filets de limande du Nord MSC façon meunière  CARREFOUR LE MARCHE,filets-de-limande-du-nord-msc-facon-meuniere-carrefour-le-marche,Viandes et Poissons,FRANCE,16.22 € / KG
Filets de maquereau fumés au poivre DELPIERRE,filets-de-maquereau-fumes-au-poivre-delpierre,Viandes et Poissons,,21.27 € / KG
Lieu  MSC façon Fish & Chips  CARREFOUR LE MARCHE,lieu-msc-facon-fish-chips-carrefour-le-marche,Viandes et Poissons,FRANCE,17.48 € / KG
Lieu  MSC façon Fish & Chips  CARREFOUR LE MARCHE,lieu-msc-facon-fish-chips-carrefour-le-marche,Viandes et Poissons,FRANCE,20.00 € / KG
Nuggets Poisson CARREFOUR LE MARCHE,nuggets-poisson-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,12.50 € / KG
Nuggets de colin d'Alaska ASSIETTE BLEUE,nuggets-de-colin-d-alaska-assiette-bleue,Viandes et Poissons,,21.94 € / KG
Panés au poisson SIMPL,panes-au-poisson-simpl,Viandes et Poissons,FRANCE,8.99 € / KG
Panés au poisson SIMPL,panes-au-poisson-simpl,Viandes et Poissons,FRANCE,9.95 € / KG
Petits poissons frits,petits-poissons-frits,Viandes et Poissons,ITALIE,35.75 € / KG
Plat préparé croque cabillaud MAISON BRIAU,plat-prepare-croque-cabillaud-maison-briau,Viandes et Poissons,FRANCE,16.22 € / KG
Poisson préparé les croustillants de limande MSC MAISON BRIAU,poisson-prepare-les-croustillants-de-limande-msc-maison-briau,Viandes et Poissons,FRANCE,18.89 € / KG
P'tits Croustis Cabillaud et Pommes de terre,p-tits-croustis-cabillaud-et-pommes-de-terre,Surgelés,,19.75 € / KG
"Queues de crevettes cuites, réfrigérées CITE MARINE",queues-de-crevettes-cuites-refrigerees-cite-marine,Viandes et Poissons,FRANCE,33.27 € / KG
Rôti farci saumon et St-Jacques CARREFOUR LE MARCHE,roti-farci-saumon-et-st-jacques-carrefour-le-marche,Viandes et Poissons,FRANCE,32.42 € / KG
Saumon au curry,saumon-au-curry,Viandes et Poissons,NORVÈGE,22.63 € / KG
Tartare de saumon asperges vertes et câpres  CARREFOUR LE MARCHE,tartare-de-saumon-asperges-vertes-et-capres-carrefour-le-marche,Viandes et Poissons,FRANCE,53.06 € / KG
Pavé de saumon bio avec peau s/arêtes CARREFOUR BIO,pave-de-saumon-bio-avec-peau-s-aretes-carrefour-bio,Viandes et Poissons,IRLANDE,45.52 € / KG
Filets de saumon sauvage salé DELPIERRE,filets-de-saumon-sauvage-sale-delpierre,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),37.46 € / KG
Pavés de saumon avec peau sans arête,paves-de-saumon-avec-peau-sans-arete,Viandes et Poissons,ROYAUME-UNI,35.96 € / KG
Pavés de saumon barbecue,paves-de-saumon-barbecue,Viandes et Poissons,NORVÈGE,43.46 € / KG
Pavés de saumon marinés à la provençale,paves-de-saumon-marines-a-la-provencale,Viandes et Poissons,NORVÈGE,45.41 € / KG
Pavés de saumon fumé Traiteur trois poivre baie Sichuan,paves-de-saumon-fume-traiteur-trois-poivre-baie-sichuan,Viandes et Poissons,NORVÈGE,45.41 € / KG
Pavé de saumon ASC FILIERE QUALITE CARREFOUR,pave-de-saumon-asc-filiere-qualite-carrefour,Viandes et Poissons,NORVEGE,4.47 € / KG
Pavé de saumon ASC FILIERE QUALITE CARREFOUR,pave-de-saumon-asc-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,4.50 € / U
Pavé de saumon avec peau sans arêtes ASC  FILIERE QUALITE CARREFOUR,pave-de-saumon-avec-peau-sans-aretes-asc-filiere-qualite-carrefour,Viandes et Poissons,NORVÈGE,29.08 € / KG
Pavé de saumon avec peau s/arête SIMPL,pave-de-saumon-avec-peau-s-arete-simpl,Viandes et Poissons,NORVÈGE,24.05 € / KG
Pavé de saumon légèrement fumé et sa couverture d'herbes,pave-de-saumon-legerement-fume-et-sa-couverture-d-herbes,Viandes et Poissons,NORVÈGE,45.41 € / KG
Pavés de truite CARREFOUR BIO,paves-de-truite-carrefour-bio,Viandes et Poissons,FRANCE,39.96 € / KG
Pavés de truite avec peau désarêtés CARREFOUR LE MARCHE,paves-de-truite-avec-peau-desaretes-carrefour-le-marche,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),25.98 € / KG
Pavés de truite avec peau désarêtés  FILIERE QUALITE CARREFOUR,paves-de-truite-avec-peau-desaretes-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,27.96 € / KG
Filet de truite FILIERE QUALITE CARREFOUR,filet-de-truite-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,4.49 € / KG
Dos de cabillaud MSC CARREFOUR LE MARCHE,dos-de-cabillaud-msc-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,29.18 € / KG
Dos de cabillaud,dos-de-cabillaud,Viandes et Poissons,NORVÈGE,5.99 € / KG
Dos de cabillaud sans arêtes,dos-de-cabillaud-sans-aretes,Viandes et Poissons,ESPAGNE,8.09 € / KG
Dos de cabillaud MSC amandes pistaches basilic DELPIERRE,dos-de-cabillaud-msc-amandes-pistaches-basilic-delpierre,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),37.47 € / KG
Filet de cabillaud CARREFOUR LE MARCHE,filet-de-cabillaud-carrefour-le-marche,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),25.98 € / KG
Filet de cabillaud sans arêtes,filet-de-cabillaud-sans-aretes,Viandes et Poissons,ESPAGNE,7.19 € / KG
Filet de cabillaud sans peau et sans arête SIMPL,filet-de-cabillaud-sans-peau-et-sans-arete-simpl,Viandes et Poissons,ATLANTIQUE NORD EST,23.95 € / KG
Filet de Cabillaud,filet-de-cabillaud,Viandes et Poissons,ATLANTIQUE NORD EST,6.37 € / KG
Pavés cabillaud sans arêtes MSC  CARREFOUR LE MARCHE,paves-cabillaud-sans-aretes-msc-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,29.16 € / KG
Filets de cabillaud façon fish & chips CARREFOUR LE MARCHE,filets-de-cabillaud-facon-fish-chips-carrefour-le-marche,Viandes et Poissons,FRANCE,19.95 € / KG
Cabillaud en tranche,cabillaud-en-tranche,Viandes et Poissons,ATLANTIQUE NORD EST,5.19 € / KG
Bar d'élevage vidé et écaillé,bar-d-elevage-vide-et-ecaille,Viandes et Poissons,GRECE,4.00 € / U
Brochette d'encornet géant marinée façon maître d'hôtel,brochette-d-encornet-geant-marinee-facon-maitre-d-hotel,Viandes et Poissons,FRANCE,3.49 € / U
Brochette de saumon marinée provençale,brochette-de-saumon-marinee-provencale,Viandes et Poissons,FRANCE,5.59 € / KG
Brochettes de thon et encornet marinées provençale,brochettes-de-thon-et-encornet-marinees-provencale,Viandes et Poissons,FRANCE,4.00 € / U
Carpaccio de saumon nature CARREFOUR LE MARCHE,carpaccio-de-saumon-nature-carrefour-le-marche,Viandes et Poissons,FRANCE,58.25 € / KG
Carrelet,carrelet,Viandes et Poissons,ATLANTIQUE NORD EST,3.50 € / U
Ceviche de thon blanc,ceviche-de-thon-blanc,Viandes et Poissons,OCEAN PACIFIQUE,34.60 € / KG
Cœur de filet de saumon gravlax,coeur-de-filet-de-saumon-gravlax,Viandes et Poissons,FRANCE,73.27 € / KG
Cœur de filet de saumon fumé de Norvège,coeur-de-filet-de-saumon-fume-de-norvege,Viandes et Poissons,FRANCE,66.60 € / KG
Cœur de saumon ASC FILIERE QUALITE CARREFOUR,coeur-de-saumon-asc-filiere-qualite-carrefour,Viandes et Poissons,NORVÈGE,7.79 € / KG
Cœur de saumon sans peau sans arêtes ASC  FILIERE QUALITE CARREFOUR,coeur-de-saumon-sans-peau-sans-aretes-asc-filiere-qualite-carrefour,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),8.99 € / KG
Darne de saumon ASC FILIERE QUALITE CARREFOUR,darne-de-saumon-asc-filiere-qualite-carrefour,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),5.99 € / KG
Darnes de saumon avec peau CARREFOUR LE MARCHE,darnes-de-saumon-avec-peau-carrefour-le-marche,Viandes et Poissons,NORVÈGE,16.67 € / KG
Daurade Royale vidée et écaillée,daurade-royale-videe-et-ecaillee,Viandes et Poissons,GRECE,4.00 € / U
Daurade vidée écaillée,daurade-videe-ecaillee,Viandes et Poissons,ESPAGNE,6.45 € / KG
Dos de cabillaud  sans arête MSC  FILIERE QUALITE CARREFOUR,dos-de-cabillaud-sans-arete-msc-filiere-qualite-carrefour,Viandes et Poissons,ATLANTIQUE NORD EST,8.63 € / KG
Dos d'Eglefin sans peau,dos-d-eglefin-sans-peau,Viandes et Poissons,ATLANTIQUE NORD EST,6.29 € / KG
Dos d'églefin,dos-d-eglefin,Viandes et Poissons,ATLANTIQUE NORD EST,8.09 € / KG
Dos de Lieu noir,dos-de-lieu-noir,Viandes et Poissons,ATLANTIQUE NORD EST,15.49 € / KG
Dos de lieu noir MSC,dos-de-lieu-noir-msc,Viandes et Poissons,ATLANTIQUE NORD EST,15.49 € / KG
Dos de lieu noir  sans arêtes MSC  CARREFOUR LE MARCHE,dos-de-lieu-noir-sans-aretes-msc-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,19.96 € / KG
Emincé de flétan fumé FOURNIER ET FILS,emince-de-fletan-fume-fournier-et-fils,Viandes et Poissons,FRANCE,74.90 € / KG
Emincés de saumon à l'aneth CARREFOUR LE MARCHE,eminces-de-saumon-a-l-aneth-carrefour-le-marche,Viandes et Poissons,FRANCE,57.42 € / KG
Escalopes de saumon,escalopes-de-saumon,Viandes et Poissons,NORVÈGE,8.69 € / KG
Filet de lieu noir MSC CARREFOUR LE MARCHE,filet-de-lieu-noir-msc-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,18.18 € / KG
Filet d'Eglefin CARREFOUR,filet-d-eglefin-carrefour,Viandes et Poissons,ATLANTIQUE NORD EST,20.00 € / KG
Filet de Tacaud CARREFOUR,filet-de-tacaud-carrefour,Viandes et Poissons,ATLANTIQUE NORD EST,20.00 € / KG
Filet de cabillaud,filet-de-cabillaud,Viandes et Poissons,NORVÈGE,16.00 € / U
Filet de carrelet,filet-de-carrelet,Viandes et Poissons,ATLANTIQUE NORD EST,5.99 € / KG
Filet de dorade Sebaste MSC,filet-de-dorade-sebaste-msc,Viandes et Poissons,ISLANDE,5.37 € / KG
Filet d'églefin,filet-d-eglefin,Viandes et Poissons,ESPAGNE,4.79 € / KG
