"Date";"title";"slug";"product_family";"origin";"price";"total_kg_co2";"total_kg_co2_farming";"total_kg_co2_processing";"total_kg_co2_packaging";"total_kg_co2_transport";"total_kg_co2_retail";"total_kg_co2_consumption"
"21/05/2022";"Crème Crue FERME DES NOES RABACHE";"lait";"Crèmerie et Produits laitiers";"";3.65;0.575;0.406;0.0062;0.048;0.107;0.0081;0.0
"09/11/2024";"Lait  demi-écrémé Grandlait CANDIA";"lait";"Crèmerie et Produits laitiers";"";5.52;3.45;2.44;0.0372;0.288;0.642;0.0486;0.0
"08/05/2024";"Filet de queue de cabillaud";"filet-de-queue-de-cabillaud";"Viandes et Poissons";"ATLANTIQUE NORD EST";1.49;3.01;2.56;0.0;0.117;0.316;0.0101;0.0017
"16/03/2024";"Glace bonbon Dessert glacé Caramel Salé & Amande x12 MAGNUM";"yaourt";"Surgelés";"";5.55;0.318;0.173;0.0255;0.0709;0.0415;0.0062;0.0011
"27/01/2023";"Vin  Rosé Bio  CONSCICE";"vin";"Boissons";"";8.39;0.951;0.226;0.0248;0.509;0.175;0.0118;0.0051
"20/05/2023";"Thé noir Russian Earl Grey Carrefour CARREFOUR";"the";"Epicerie sucrée";"";1.85;0.0016;0.0008;0.0;0.0002;0.0001;0.0;0.0004
"18/05/2024";"Tablette De Chocolat Au Lait 50% Cacao Madagascar Bio ETHIQUABLE";"tablette-de-chocolat-au-lait-50-cacao-madagascar-bio-ethiquable";"Epicerie sucrée";"";2.95;0.123;0.0665;0.0151;0.0241;0.0152;0.0018;0.0
"03/09/2023";"Limonade à l'eau des glaciers du Mont-B MARIE DOLIN";"soda";"Boissons";"";2.99;0.37;0.0676;0.0097;0.103;0.157;0.0272;0.0051
"20/10/2023";"Assortiment de chocolats au lait KINDER MINI FRIENDS";"assortiment-de-chocolats-au-lait-kinder-mini-friends";"Epicerie sucrée";"";3.69;0.962;0.816;0.0406;0.0881;0.0135;0.0045;0.0
"26/10/2024";"Glace Mango Passion CARREFOUR SENSATION";"yaourt";"Surgelés";"";3.39;0.493;0.268;0.0395;0.11;0.0642;0.0096;0.0018
"03/10/2024";"Épinards en branches à la crème fraîche  FINDUS";"epinards-en-branches-a-la-creme-fraiche-findus";"Surgelés";"";3.69;0.338;0.0961;0.0;0.0;0.197;0.0373;0.008
"12/12/2023";"Maïs  sans sucres ajoutés BONDUELLE";"mais-sans-sucres-ajoutes-bonduelle";"Epicerie salée";"";2.39;0.239;0.153;0.0001;0.016;0.0613;0.009;0.0
"19/10/2024";"Tablette Chocolat au lait KINDER CHOCOLAT";"tablette-chocolat-au-lait-kinder-chocolat";"Epicerie sucrée";"";4.39;0.368;0.2;0.0453;0.0722;0.0455;0.0053;0.0
"14/01/2023";"Jus D'Orange  Bio CARREFOUR BIO";"jus-d-orange-bio-carrefour-bio";"Fruits et Légumes";"";1.69;0.0169;0.005;0.0;0.0;0.0095;0.0005;0.002
"03/01/2024";"Yaourt à la grecque nature CARREFOUR EXTRA";"yaourt-a-la-grecque-nature-carrefour-extra";"Crèmerie et Produits laitiers";"";2.45;1.89;1.03;0.152;0.422;0.247;0.0369;0.0068
"07/01/2024";"Saint-Félicien Bio ETOILE DU VERCORS";"fromage";"Bio et Ecologie";"";3.75;0.879;0.73;0.0407;0.0636;0.0383;0.0055;0.001
"03/01/2022";"Pizza à la napolitaine Margherita CARREFOUR EXTRA";"pizza-a-la-napolitaine-margherita-carrefour-extra";"Surgelés";"";3.49;1.33;0.988;0.104;0.094;0.0959;0.0154;0.035
"11/02/2023";"Fraises Dream";"fraises-dream";"Fruits et Légumes";"FRANCE";9.9;0.383;0.17;0.0;0.0;0.196;0.0098;0.0075
