title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Crème Entière Fluide 30% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;3,79;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Fluide Légère 12% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;2,95;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Semi-Épaisse Légère 18% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;2,85;0,69;0,487;0,0074;0,0575;0,128;0,0097;0
Crème Fluide Légère 12% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;2,79;0,69;0,487;0,0074;0,0575;0,128;0,0097;0
Crème Epaisse 15% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;1,95;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Semi-Épaisse Légère 18% Mat.Gr. BRIDELICE;lait;Crèmerie et Produits laitiers;;2,99;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Anglaise UHT BRIDELICE;lait;Crèmerie et Produits laitiers;;3,49;0,69;0,487;0,0074;0,0575;0,128;0,0097;0
Crème Anglaise UHT BRIDELICE;lait;Crèmerie et Produits laitiers;;1,99;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Crème Légère et Fluide à 12% MG Stérilisée UHT BRIDELICE;lait;Crèmerie et Produits laitiers;;1,99;0,575;0,406;0,0062;0,048;0,107;0,0081;0
Sauce Béchamel UHT BRIDELICE;sauce-bechamel-uht-bridelice;Crèmerie et Produits laitiers;;3,35;0;0;0;0;0;0;0
Beurre Doux 15% Mat. Gr. BRIDELIGHT;beurre-doux-15-mat-gr-bridelight;Crèmerie et Produits laitiers;;2,55;1,98;1,82;0,0125;0,031;0,102;0,0101;0,0017
Margarine Demi-sel 15% Mat.Gr. BRIDELIGHT;margarine-demi-sel-15-mat-gr-bridelight;Crèmerie et Produits laitiers;;2,55;0;0;0;0;0;0;0
Margarine Demi-sel 15% Mat.Gr. BRIDELIGHT;margarine-demi-sel-15-mat-gr-bridelight;Crèmerie et Produits laitiers;;4,09;0;0;0;0;0;0;0
