Date;product_family;title;price;total_kg_co2;total_kg_co2_farming;total_kg_co2_processing;total_kg_co2_packaging;total_kg_co2_transport;total_kg_co2_retail;total_kg_co2_consumption
28/05/2022;Boissons;Bière blonde Defender IPA BROOKLYN;2,49;0,444252278;0,026351126;0,090035762;0,204806623;0,108834437;0,011971788;0,002252543
30/03/2025;Epicerie sucrée;Tablette de chocolat Lait Praliné Rocher LINDT CREATION;2,45;0,183977071;0,099845377;0,0226604;0,036086115;0,022729639;0,002655542;0
10/02/2022;Viandes et Poissons;Saumon fumé huile infusée au citron et combawa LABEYRIE;5,49;0,061092115;0,015521131;7,66456E-06;0;0,032482367;0,002040149;0,011040804
20/01/2025;Boissons;Vin rosé vin de pays charentais  PERE FOURAS;10,70;3,802336415;0,902156863;0,099207283;2,035098039;0,698347339;0,047056022;0,020470868
13/05/2022;Boissons;Vin Blanc Moelleux I.G.P. Atlantique DAGUET DE BERTICOT;3,90;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
13/02/2023;Epicerie salée;Maïs Doux Extra Croquant Sans Résidu De Pesticides GEANT VERT;1,15;0,161908899;0,103329208;5,49381E-05;0,010845297;0,041559406;0,00612005;0
20/06/2023;Epicerie sucrée;Café en grains  Tales of Milano 100% arabica intensité 7  LAVAZZA;5,25;0,15886575;0,109;0,004525;0,03225;0,01005;0,00024075;0,0028
02/10/2023;Epicerie sucrée;Mini barres chocolatées SIMPL;3,99;3,549075761;3,008019166;0,149793687;0,324777903;0,049841263;0,016643743;0
18/09/2023;Epicerie salée;Blé CARREFOUR CLASSIC';2,99;1,2262635;0,6655;0,1510385;0,240525;0,1515;0,0177;0
22/04/2023;Crèmerie et Produits laitiers;Fromage enfant original en portions à tartiner LA VACHE QUI RIT;1,99;0,750261994;0,622953183;0,034719421;0,054299486;0,032710225;0,004709453;0,000870225
10/10/2022;Crèmerie et Produits laitiers;Fromage blanc nature 3,2% MG LAITERIE LES FAYES;6,09;8,7939;7,3017;0,40695;0,63645;0,3834;0,0552;0,0102
20/10/2022;Boissons;Bière des Ardennes ARDWEN;10,80;1,333448579;0,079094409;0,270247479;0,614738772;0,326672777;0,035934005;0,006761137
15/06/2023;Fruits et Légumes;Jeunes pousses d'épinard CARREFOUR;1,40;0,042257;0,012;0;0;0,0246;0,00466;0,000997
19/05/2023;Epicerie sucrée;Bonbons Violettes goût acidulé GEORGES VERQUIN;2,09;0,29738;0,1442;0,0606;0,0462;0,0422;0,00418;0
28/06/2023;Crèmerie et Produits laitiers;Plateau de fromages Auvergne L'ATELIER CHATEAUBOURG;11,50;2,08150355;1,728301945;0,096324483;0,150646805;0,090750232;0,013065761;0,002414325
03/03/2022;Crèmerie et Produits laitiers;Yaourt de brebis nature LE PETIT BASQUE;2,89;0,758416856;0,412285319;0,060842105;0,168916898;0,098868421;0,014770222;0,002733892
20/04/2022;Boissons;Vin rouge Collioure AOP LES HAUTS DE PAULILLES;11,90;0,951272653;0,225702583;0,024819786;0,509143037;0,174713296;0,011772527;0,005121424
02/11/2024;Surgelés;Glace Bâtonnet Twister Tropical MIKO;3,99;0,659108344;0,358299913;0,052875327;0,146798605;0,085922406;0,012836181;0,002375911
11/12/2022;Epicerie sucrée;Bonbons tétines sucrées halal SEREBIS;1,20;0,14869;0,0721;0,0303;0,0231;0,0211;0,00209;0
01/10/2023;Crèmerie et Produits laitiers;Fromage à Tartiner Nature PHILADELPHIA;1,79;0,879635708;0,730374015;0,04070637;0,063662783;0,038350712;0,005521542;0,001020285
